tcp_variant,txpackets,rxpackets,throughput,meandelay,packetloss
ns3::TcpVegas,5,4667,4667,0.19415,0.000264756,0
ns3::TcpVegas,6,3,3,9.6e-05,0.00419953,0
ns3::TcpVegas,7,795,795,0.955217,0.0384691,0
ns3::TcpVegas,8,751,751,0.898467,0.0395436,0
ns3::TcpVegas,1,9332,9332,4.38821,0.016219,0
ns3::TcpVegas,2,3,3,0.0001344,0.338046,0
ns3::TcpVegas,3,1109,1108,0.055896,0.000235641,0.0901713
ns3::TcpVegas,4,965,964,0.0403856,0.000247955,0.103627
ns3::TcpVegas,5,4667,4667,0.19415,0.000198553,0
ns3::TcpVegas,6,3,3,9.6e-05,0.00455974,0
ns3::TcpVegas,7,2159,2159,1.00672,0.0235956,0
ns3::TcpVegas,8,1923,1923,0.903549,0.0266488,0
ns3::TcpVegas,1,9332,9332,4.38821,0.0171631,0
ns3::TcpVegas,2,3,3,0.0001344,0.337983,0
ns3::TcpVegas,3,350,349,0.0148016,0.000323012,0.285714
ns3::TcpVegas,4,359,358,0.015736,0.000318481,0.278552
ns3::TcpVegas,5,4667,4667,0.19415,0.000218631,0
ns3::TcpVegas,6,3,3,9.6e-05,0.00157169,0
ns3::TcpVegas,7,694,694,0.83617,0.0372408,0
ns3::TcpVegas,8,709,709,0.853175,0.036774,0
